PID,Year Built,SalePrice,Fireplaces,Bedroom AbvGr,Overall Qual,Gr Liv Area,Lot Area,Pool Area
526301100,1960,215000,2,3,6,1656,31770,0
526350040,1961,105000,0,2,5,896,11622,0
526351010,1958,172000,0,3,6,1329,14267,0
526353030,1968,244000,2,3,7,2110,11160,0
527105010,1997,189900,1,3,5,1629,13830,0
527105030,1998,195500,1,3,6,1604,9978,0
527127150,2001,213500,0,2,8,1338,4920,0
527145080,1992,191500,0,2,8,1280,5005,0
527146030,1995,236500,1,2,8,1616,5389,0
527162130,1999,189000,1,3,7,1804,7500,0
527163010,1993,175900,1,3,6,1655,10000,0
527165230,1992,185000,0,3,6,1187,7980,0
527166040,1998,180400,1,3,6,1465,8402,0
527180040,1990,171500,1,2,7,1341,10176,0
527182190,1985,212000,0,1,8,1502,6820,0
527216070,2003,538000,1,4,8,3279,53504,0
527225035,1988,164000,0,4,8,1752,12134,0
527258010,2010,394432,1,1,9,1856,11394,0
527276150,1951,141000,0,2,4,864,19138,0
527302110,1978,210000,2,3,6,2073,13175,0
527358140,1977,190000,1,3,6,1844,11751,0
527358200,1974,170000,2,3,7,1173,10625,0
527368020,2000,216000,0,3,7,1674,7500,0
527402200,1970,149000,1,2,6,1004,11241,0
527402250,1971,149900,1,3,5,1078,12537,0
527403020,1968,142000,1,3,5,1056,8450,0
527404120,1970,126000,0,2,4,882,8400,0
527425090,1971,115000,1,3,4,864,10500,0
527427230,1999,184000,1,2,7,1337,5858,0
527451180,1971,96000,0,2,6,987,1680,0
527451330,1971,105500,0,3,5,1092,1680,0
527451410,1971,88000,0,3,6,1092,1680,0
527452190,1977,127500,1,2,6,1069,4043,0
527453130,1975,149900,1,3,6,1456,2280,0
527453150,1975,120000,0,2,7,836,2280,0
527454200,1978,146000,1,3,6,1456,2280,0
528108120,2009,376162,1,3,9,2334,12858,0
528112020,2007,306000,1,3,8,1704,11478,0
528120060,2009,395192,1,3,9,1940,10159,0
528120090,2009,290941,0,3,8,1544,12883,0
528120100,2005,220000,1,3,7,1541,12182,0
528120120,2005,275000,1,3,9,1698,11520,0
528138020,2005,259000,1,3,8,1822,14122,0
528138060,2004,214000,0,3,7,1535,10171,0
528150070,2009,611657,2,2,9,2364,12919,0
528175010,2009,224000,1,2,7,1358,6371,0
528176010,2003,500000,2,3,9,2696,14300,0
528176070,2002,320000,1,3,8,2250,13650,0
528180070,2005,319900,1,2,9,1752,7658,0
528181050,2006,205000,1,2,8,1370,7132,0
528188120,2003,175500,0,2,7,1626,2628,0
528218150,2005,199500,0,3,6,1324,18494,0
528228285,2006,160000,0,2,7,1145,3203,0
528228440,2004,192000,1,2,8,1269,3182,0
528231020,2004,184500,1,3,7,1374,13300,0
528240070,2002,216500,2,4,6,1960,7851,0
528240130,2004,185088,1,3,7,1733,8577,0
528250100,2000,180000,1,3,7,1430,7750,0
528292020,2001,222500,1,3,7,2035,9505,0
528328100,1999,333168,1,4,9,2599,14774,0
528344070,1998,355000,1,4,8,2475,17433,0
528358010,1996,260400,1,3,7,1720,10593,0
528363130,1994,325000,2,3,8,2622,12256,0
528382020,1999,290000,1,4,8,2270,11764,0
528382030,1998,221000,0,4,7,1839,16770,0
528386040,1995,410000,1,4,8,3238,14720,0
528445060,2005,221500,1,2,8,1595,8987,0
528456160,2009,204500,0,2,7,1218,9215,0
528458070,2009,215200,0,3,7,1547,8640,0
528458110,2008,262500,0,3,8,1566,9000,0
528477080,2004,254900,1,3,7,1947,12552,0
528480090,2005,271500,1,2,6,1468,10440,0
531367050,2004,233000,0,4,7,2084,10142,0
531369060,2004,181000,0,3,7,1659,11920,0
531380080,1994,205000,2,3,7,2110,8880,0
531451110,1980,143000,1,2,6,923,8012,0
531451280,1992,189000,1,3,6,1845,11218,0
531452020,1979,99500,1,2,6,918,7892,0
531452050,1984,125000,0,2,6,752,7175,0
531452180,1993,194500,0,3,7,1744,9453,0
531453010,1984,152000,0,3,6,1097,9672,0
531453040,1980,171000,1,3,6,1564,8400,0
531477050,1920,67500,0,2,5,1012,9800,0
532351140,1978,112000,0,4,6,1902,8930,0
532354090,1961,148000,0,3,5,1155,11782,0
532376160,1965,138500,1,3,5,894,8450,0
532377060,1967,122000,0,3,5,900,9819,0
532377100,1963,133000,0,3,5,1040,7500,0
532378110,1962,127000,0,3,5,1040,6897,0
532479070,1974,169000,2,3,6,1494,15410,0
533130020,1992,190000,1,3,7,1923,10186,0
533130130,1993,362500,1,4,8,2349,13143,0
533130160,1992,285000,1,4,8,2225,11134,0
533205060,2004,260000,1,2,7,1488,4835,0
533208090,2004,190000,0,2,7,1680,3515,0
533210060,2004,155000,0,2,7,1200,3215,0
533212010,2004,151000,0,2,7,1200,3182,0
533212020,2004,149500,0,2,7,1200,2544,0
533212060,2005,152000,0,2,6,1236,2544,0
533213030,2009,222000,1,2,7,1478,4403,0
533221090,2000,177500,0,3,6,1573,2117,0
533221110,2000,177000,0,2,6,1512,2980,0
533223020,1999,155000,0,3,7,1416,2572,0
533223100,2003,147110,0,2,7,1080,2403,0
533238045,2010,267916,1,1,8,1418,12853,0
533244030,2000,254000,1,3,8,1848,7379,0
533253060,1980,155000,1,1,8,788,4420,0
533253210,1978,206000,1,1,8,1226,3880,0
533352170,1976,130500,0,3,6,1479,13517,0
534102025,2002,230000,1,3,7,1492,8000,0
534129040,1967,218500,0,4,6,1829,10456,0
534151175,1993,243500,1,4,6,2495,10791,0
534152050,1977,205000,2,3,6,1610,10603,0
534152070,1978,212500,1,3,6,1891,18837,0
534152100,1988,196500,1,3,7,1714,10421,0
534176060,1972,197500,1,3,6,1381,9360,0
534176230,1971,171000,0,4,6,1645,9600,0
534202160,1966,142250,0,3,5,1232,9600,0
534251320,1963,143000,2,3,6,1328,9790,0
534276360,1959,128950,0,3,4,1225,9320,0
534401110,1966,159000,0,3,5,1209,9900,0
534401140,1967,178900,0,3,5,1510,9680,0
534403360,1964,136300,0,3,6,1775,10600,0
534403410,1964,180500,1,3,5,1152,14112,0
534425310,1963,137500,0,3,6,1054,8800,0
534427010,1962,84900,0,6,5,1728,13260,0
534430080,1950,142125,0,2,5,1078,9717,0
534431050,1952,197600,2,3,5,2461,9724,0
534431070,1949,172500,1,3,6,1556,17360,0
534450180,1958,116500,0,2,5,858,7207,0
534451150,1940,76500,0,3,3,1306,5350,0
534475100,1954,128000,0,3,5,1063,9920,0
534476260,1955,153000,2,3,6,1520,9600,0
534479320,1954,132000,1,2,5,1268,7800,0
535101020,1966,178000,1,2,6,1128,11380,0
535106190,1960,154300,0,5,5,2274,11600,0
535125010,1970,180000,1,3,7,2207,19900,0
535126040,1966,190000,1,2,6,1888,16492,0
535152010,1958,135000,0,4,5,1604,8267,0
535152050,2003,214000,0,3,7,1480,8197,0
535152130,1959,136000,0,3,5,1143,8050,0
535152150,1959,165500,1,4,5,1700,10552,0
535152250,1957,145000,0,3,5,1314,8400,0
535153070,1959,148000,0,3,6,1194,8760,0
535154050,1959,142000,0,3,5,1188,12160,0
535175070,1960,167500,2,3,5,1264,9300,0
535175180,1959,108538,0,3,5,1206,10725,0
535179020,1959,159500,2,3,6,1580,10032,0
535180130,1956,108000,0,3,4,1337,8382,0
535302080,1952,135000,0,2,5,1064,10950,0
535302200,1955,122500,0,3,5,972,10895,0
535304060,1958,119000,0,2,5,988,13587,0
535304180,1953,109000,0,3,5,1057,7922,0
535325400,1920,105000,0,2,4,985,7898,0
535327140,1955,107500,1,2,5,827,7200,0
535350030,1954,144900,0,3,5,1086,10200,0
535350040,1956,129000,0,2,5,936,5868,0
535353190,1948,97500,1,3,6,1458,17503,0
535377090,1980,144000,0,0,6,1056,6979,0
535401080,1959,162000,1,3,5,1287,9830,0
535425010,1967,242000,1,5,7,2978,11275,0
535450210,1948,132000,0,3,6,1224,8064,0
535453070,1959,154000,0,3,5,1246,7500,0
535454070,1952,166000,0,4,5,1385,8520,0
535456110,1951,134800,0,3,5,900,7200,0
535457010,1962,160000,0,3,6,1116,10000,0
535457090,1960,148000,0,3,5,1175,7635,0
535476350,1963,192000,1,2,6,1395,9760,0
535477020,1966,155000,1,4,6,1839,7700,0
902102100,1900,80400,2,3,4,1844,4800,0
902104060,1910,96500,0,3,4,1140,8800,0
902106130,1920,109500,1,2,5,936,4485,0
902106140,1927,115000,1,2,5,1028,8960,0
902110090,1957,143000,0,3,5,1347,5805,0
902125080,1915,107400,0,3,3,1605,5790,0
902125160,1945,80000,0,2,4,747,4608,0
902128170,1940,119000,2,2,5,804,7200,0
902206040,1929,130000,0,3,5,1316,5500,0
902206130,1938,119000,0,3,6,1251,6900,0
902206220,1948,129000,1,3,5,1633,11851,0
902206240,1920,100000,0,3,5,1245,8239,0
902207130,1923,12789,1,2,2,832,9656,0
902207140,1928,105900,0,2,6,720,8520,0
902305110,1900,150000,0,3,8,1566,9600,0
902327040,1915,139000,0,4,5,1652,10800,0
902329030,1890,240000,0,3,8,2268,9000,0
902401060,1910,76500,0,4,5,2256,9045,0
902402010,1957,149700,0,2,6,1236,7407,0
902402130,1910,125500,0,3,4,1363,7740,0
902402250,1885,122500,0,4,4,2290,11340,0
902403070,1922,140750,0,2,6,1470,10560,0
903204040,1950,128500,0,3,5,1612,5830,0
903206120,1922,209500,1,3,7,2068,7793,0
903225150,1925,87000,0,2,4,765,5000,0
903226160,1939,134000,0,2,6,1132,6000,0
903227020,1940,128000,2,3,6,1196,6000,0
903227150,1942,132000,2,3,5,1453,6360,0
