PID,MS Zoning,Lot Frontage,Lot Area,Overall Qual,Full Bath,Foundation,Year Built,Yr Sold,Neighborhood,Kitchen AbvGr,Bedroom AbvGr,SalePrice
526301100,,43.0,2952.0,6,1,CBlock,1960,2010,NAmes,1,3,215.0
526350040,RH,24.0,1080.0,5,1,CBlock,1961,2010,NAmes,1,2,105.0
526351010,RL,25.0,1325.0,6,1,CBlock,1958,2010,NAmes,1,3,172.0
526353030,RL,28.0,1037.0,7,2,CBlock,1968,2010,NAmes,1,3,244.0
527105010,RL,23.0,1285.0,5,2,PConc,1997,2010,Gilbert,1,3,189.9
527105030,RL,24.0,927.0,6,2,PConc,1998,2010,Gilbert,1,3,195.5
527127150,RL,12.0,457.0,8,2,PConc,2001,2010,StoneBr,1,2,213.5
527145080,RL,13.0,465.0,8,2,PConc,1992,2010,StoneBr,1,2,191.5
527146030,RL,12.0,501.0,8,2,PConc,1995,2010,StoneBr,1,2,236.5
527162130,RL,18.0,697.0,7,2,PConc,1999,2010,Gilbert,1,3,189.0
527163010,RL,23.0,929.0,6,2,PConc,1993,2010,Gilbert,1,3,175.9
527165230,RL,,741.0,6,2,PConc,1992,2010,Gilbert,1,3,185.0
527166040,RL,19.0,781.0,6,2,PConc,1998,2010,Gilbert,1,3,180.4
527180040,RL,26.0,945.0,7,1,PConc,1990,2010,Gilbert,1,2,171.5
527182190,RL,,634.0,8,1,PConc,1985,2010,StoneBr,1,1,212.0
527216070,RL,14.0,4971.0,8,3,PConc,2003,2010,StoneBr,1,4,538.0
527225035,RL,46.0,1127.0,8,2,Wood,1988,2010,Gilbert,1,4,164.0
527258010,RL,27.0,1059.0,9,1,PConc,2010,2010,StoneBr,1,1,394.432
527276150,RL,43.0,1778.0,4,1,CBlock,1951,2010,Gilbert,1,2,141.0
527302110,RL,26.0,1224.0,6,2,CBlock,1978,2010,NWAmes,1,3,210.0
527358140,RL,32.0,1092.0,6,2,CBlock,1977,2010,NWAmes,1,3,190.0
527358200,RL,26.0,987.0,7,2,CBlock,1974,2010,NWAmes,1,3,170.0
527368020,FV,,697.0,7,2,PConc,2000,2010,Somerst,1,3,216.0
